# Wavelength[nm]	g'	r'	Asahi i	z_s
930	0.006945489	0.000996259	0.000243458	0.125452578
929.5	0.006228996	0.00119435	0.000994164	0.158796579
929	0.005645737	0.001440001	5.86E-05	0.199339703
928.5	0.005115678	0.001773017	0.000458471	0.25860557
928	0.004709551	0.002232155	-0.000580717	0.333220363
927.5	0.004351394	0.002969917	0.000427344	0.438566089
927	0.004016266	0.003740553	-3.13E-05	0.579479873
926.5	0.003750946	0.004605742	-0.000564012	0.773605466
926	0.00367682	0.005321769	-0.000388826	1.064663053
925.5	0.003343536	0.005610141	5.07E-05	1.439949155
925	0.003220549	0.005723529	-0.000421467	2.04177022
924.5	0.003185058	0.005243309	0.000827369	2.888841867
924	0.003053544	0.004680233	-0.000261012	4.100560188
923.5	0.003034573	0.003972289	0.000457919	5.974109173
923	0.003038278	0.003462111	-0.000169968	8.597382545
922.5	0.003091818	0.002868784	0.000124813	12.45342827
922	0.002966636	0.002478475	-5.96E-05	17.34065056
921.5	0.003110417	0.002232664	3.91E-05	24.3784771
921	0.003214107	0.002137693	-0.000381559	33.38470459
920.5	0.003218679	0.001854427	0.00047912	44.31843185
920	0.003415646	0.001959065	-0.000131804	56.94754791
919.5	0.00347439	0.001819242	-0.000251175	68.60552216
919	0.003616966	0.001872658	0.001349204	79.15770721
918.5	0.003758777	0.00197488	0.00047737	86.67181396
918	0.003922679	0.002305724	-8.91E-06	91.64709473
917.5	0.004082249	0.00253661	-0.000352959	94.42761993
917	0.004306734	0.002931782	-0.000220135	96.05059814
916.5	0.004525279	0.003790961	-0.000695969	96.83956909
916	0.004742507	0.004700985	-0.000853187	97.24546051
915.5	0.005041652	0.006237547	-0.001185054	97.45701599
915	0.005189147	0.008002218	-0.000158849	97.55315399
914.5	0.005468692	0.009433204	-0.000214839	97.66455078
914	0.005797653	0.010295714	-0.00012185	97.75974274
913.5	0.005845046	0.009970472	-0.000675912	97.88549042
913	0.00607278	0.008820828	0.000605563	98.08007813
912.5	0.006227511	0.007053589	0.000915552	98.23823547
912	0.006323957	0.005330647	0.00084621	98.4868927
911.5	0.006468679	0.003886263	0.000164195	98.72498322
911	0.006496211	0.002749714	-0.000463391	98.8755188
910.5	0.006458846	0.002008777	-0.000645506	99.15526581
910	0.006463644	0.00156367	-0.000351289	99.33963776
909.5	0.006393198	0.001140993	0.000401515	99.44622803
909	0.00636148	0.000999846	0.00082821	99.63167572
908.5	0.006241031	0.000904061	-0.000242061	99.69503021
908	0.006031785	0.000756881	-0.000206287	99.6815567
907.5	0.005933059	0.000581099	0.000202656	99.65936279
907	0.005635911	0.000482509	1.91E-05	99.56157684
906.5	0.005543104	0.000483414	-0.000720891	99.49680328
906	0.005394232	0.000328536	-0.000826303	99.29544067
905.5	0.005233184	0.000444853	0.000352927	99.22409058
905	0.005098258	0.000452502	-0.00085426	99.1533432
904.5	0.004896317	0.000379941	0.000240317	99.13876343
904	0.004697609	0.000392556	-0.000149957	99.07492065
903.5	0.004583274	0.000288421	0.000595654	99.09794617
903	0.004491102	0.000423377	0.000448994	99.23094177
902.5	0.00418367	0.000392283	0.001161297	99.29753113
902	0.004152943	0.000428649	-0.000518068	99.2947998
901.5	0.004186097	0.000552993	0.000980902	99.41191101
901	0.004070291	0.000532774	-0.000238119	99.48591614
900.5	0.003960372	0.000512172	0.000216295	99.51408386
900	0.003775294	0.000586432	9.24E-05	99.58963776
899.5	0.004500154	0.001171045	0.000640469	100.4241333
899	0.002957951	-0.000352191	-0.005415348	99.61697388
898.5	0.004131109	0.00159767	0.003987405	99.10609436
898	0.003918978	0.001498911	0.000303986	99.39756775
897.5	0.00194659	0.000426179	-0.000819918	99.16808319
897	0.002011038	0.00041535	0.002084724	98.79011536
896.5	0.004991836	0.002029947	0.004707245	99.70033264
896	0.003498731	0.00316714	0.00121093	98.81762695
895.5	0.004755748	0.002949474	-0.00010166	99.4610672
895	0.005027942	0.004860249	0.000517633	98.59750366
894.5	0.003707906	0.00358388	-0.002329115	99.26509857
894	0.00299867	0.00451905	0.006268487	98.94002533
893.5	0.004310726	0.005241625	0.001059837	99.33124542
893	0.005726299	0.004288702	0.00127882	98.70854187
892.5	0.0040001	0.003387823	0.006571083	98.70435333
892	0.004053239	0.002386272	0.000460245	99.20291138
891.5	0.0031002	0.003218748	0.00031179	99.19625092
891	0.004211829	0.001484515	0.004394691	98.29059601
890.5	0.004418028	0.002177408	0.000184239	98.55934143
890	0.005469799	0.001471119	0.002774009	98.68249512
889.5	0.005041807	0.001514161	0.002336801	98.18334961
889	0.007075056	0.002167494	0.001770357	98.70629883
888.5	0.005290759	0.001915448	0.000883516	98.40778351
888	0.006260809	0.002820417	0.000144556	98.60472107
887.5	0.006915545	0.001522049	-0.001057182	97.72917938
887	0.006292802	0.003021974	0.000124613	98.58668518
886.5	0.006342047	0.002551368	0.00199963	98.72127533
886	0.006338255	0.002948873	-0.000214928	98.86699677
885.5	0.006496328	0.002724189	0.003724858	98.59606934
885	0.005534615	0.002915723	0.000458388	98.49770355
884.5	0.006499709	0.004829209	0.000684157	99.00389099
884	0.006050706	0.005553086	0.002063228	98.89118958
883.5	0.00652315	0.006666603	0.001018424	99.30364227
883	0.007378562	0.006650411	-0.000709163	98.76285553
882.5	0.005505869	0.008565253	-0.001027688	99.60402679
882	0.006725073	0.00708605	0.000453009	99.06941986
881.5	0.007156784	0.008179337	0.003547403	99.5579834
881	0.006369844	0.005299155	0.000235305	99.42608643
880.5	0.005821028	0.004599439	0.001248187	99.78569794
880	0.005607949	0.003751894	0.000470438	99.60128021
879.5	0.005098747	0.003504622	0.001189745	99.35668182
879	0.006634775	0.002592775	0.002256894	99.21822357
878.5	0.005810308	0.001901182	-0.001076112	98.93952179
878	0.004971837	0.001945232	-3.06E-06	98.83404541
877.5	0.005557788	0.00122156	0.000589214	99.00197601
877	0.00578067	0.001488188	0.001322334	98.7718277
876.5	0.005106491	0.00100478	-0.001835208	99.1227417
876	0.005374028	0.001490595	0.000867069	98.97058105
875.5	0.005431273	0.000967025	0.001080281	99.08516693
875	0.004989636	0.001111218	-0.000144907	99.23707581
874.5	0.005134664	0.000701702	-0.000175928	98.90442657
874	0.004784435	0.000999237	0.001222151	99.45217896
873.5	0.004469356	0.00066633	0.00042557	99.48714447
873	0.004754415	0.000791987	-0.000360106	99.60449219
872.5	0.004491205	0.001151126	0.00028491	99.36113739
872	0.004470712	0.00081582	3.85E-05	99.48182678
871.5	0.004723117	0.001570254	0.000475787	99.46446991
871	0.004106497	0.001278156	-3.53E-05	99.26399994
870.5	0.003919815	0.001435073	7.22E-05	98.98426056
870	0.003604884	0.001912524	-0.000465071	98.96666718
869.5	0.00325724	0.001815297	3.02E-05	98.55091858
869	0.003180593	0.002392023	-0.000432215	98.43920898
868.5	0.003011216	0.002746884	0.000195861	98.07751465
868	0.002895193	0.002960204	0.000540587	98.14033508
867.5	0.002351802	0.003526941	0.000954837	97.99491119
867	0.002524296	0.004046076	0.000641176	98.05793762
866.5	0.002114558	0.004318231	0.000407277	98.19732666
866	0.002135773	0.004954566	0.000471764	98.17682648
865.5	0.002173779	0.005729741	0.00077092	98.03740692
865	0.001858381	0.005108786	-0.000137415	98.07623291
864.5	0.001773192	0.00606117	0.000122883	98.63996124
864	0.001567989	0.005572534	0.000565349	98.76715851
863.5	0.001460645	0.005498593	0.00078477	98.94301605
863	0.001397848	0.005164173	0.000960383	98.741539
862.5	0.001186144	0.005029934	-0.000298367	99.04229736
862	0.001450617	0.005043583	0.000113892	99.30097961
861.5	0.001251562	0.004597014	0.000354008	99.44199371
861	0.001388873	0.004272237	0.000227369	99.30649567
860.5	0.001146888	0.003782589	0.000184879	99.1333847
860	0.000956925	0.003473291	-0.000414033	99.01066589
859.5	0.001186494	0.00300184	0.00016558	98.78883362
859	0.000988561	0.002442007	-5.96E-05	98.8540802
858.5	0.001209319	0.002380139	0.000281547	98.78813934
858	0.001168777	0.001992143	0.00030057	98.81798553
857.5	0.000984311	0.001405712	-0.000335927	98.6473465
857	0.001205646	0.001378864	0.000389717	98.57566071
856.5	0.001121552	0.001139428	0.000413355	98.83996582
